"New data","Species","ID","SRA Number", "Library ID", "Library type","Tissue","Sequencer", "Sequencing center", "Sample prep","Collected by","Collection date","Specimen id","Depth","Geo loc name","Lat Lon","Voucher Type","Voucher location","Voucher Cat No.","Collection mode"
N,Agalma elegans,HWI-ST625-73-C0JUVACXX-7-AGALMA2,,FEG0371|FEG0372,transcriptome,NGZ and SGZ,Illumina HiSeq 2000,Brown Genomics Core,Trizol | Illumina TruSeq RNA Sample Prep Kit RNA Purification Beads ; 2 rounds | Illumina TruSeq RNA Sample Prep Kit,Stefan Siebert,04-Dec-11,BW-2 agalma 1,3-20m,"Pacific Ocean, Monterey Bay, CA, USA",35.56 N 122.55 W,physical voucher,MCZ IZ (Harvard),69751,"Blue water SCUBA diving, off R/V Wester Flyer"
Y,Bargmannia elongata,HWI-ST625-51-C02UNACXX-8-BARGMANNIA,,FEG311|FEG312|FEG292|FEG295|FEG296,transcriptome,mix of  NGZ SGZ and siphosome ,Illumina HiSeq 2000,Brown Genomics Core,Trizol | Illumina TruSeq RNA Sample Prep Kit RNA Purification Beads ; 2 rounds | Illumina TruSeq RNA Sample Prep Kit,Stefan Siebert,08/10/2010 / 7-Oct-2010 / 11-Oct-2010,D196-D8/ D195-D4 /D195-D6 /D198-SS10,412m/805m/636m/818m,"Pacific Ocean, Monterey Bay, CA, USA",36.12 N 122.67 W,physical voucher,MCZ IZ (Harvard),69761," ROV Doc Ricketts, off R/V Wester Flyer"
Y,Frillagalma vityazi,HWI-ST625-51-C02UNACXX-6-FRILLAGALMA,,FEG291|FEG286|FEG309,transcriptome,mix of  NGZ SGZ and siphosome ,Illumina HiSeq 2000,Brown Genomics Core,Trizol | Illumina TruSeq RNA Sample Prep Kit RNA Purification Beads ; 2 rounds | Illumina TruSeq RNA Sample Prep Kit,Steven H.D Haddock,31-Jan-11,V3602-D5,407m,"Pacific Ocean, Monterey Bay, CA, USA",36.69 N 122.05 W,,,,
Y&N,Nanomia bijuga,HWI-ST625-51-C02UNACXX-7-NANOMIA,,FEG298|FEG284|FEG283,transcriptome,mix of  NGZ SGZ and siphosome ,Illumina HiSeq 2000,Brown Genomics Core,Trizol | Illumina TruSeq RNA Sample Prep Kit RNA Purification Beads ; 2 rounds | Illumina TruSeq RNA Sample Prep Kit,Stefan Siebert,07/10/2010 /12-Oct-2010,D195-SS4 / D199-SS12C,414m /387m,"Pacific Ocean, Monterey Bay, CA, USA",36.60 N 122.15 W,physical voucher,MCZ IZ (Harvard),69778,"ROV Doc Ricketts, off R/V Wester Flyer"
N,Physalia physalis,HWI-ST625-73-C0JUVACXX-7-TTAGGC,SRS431081,FEG0369,transcriptome,whole animal without most of float,Illumina HiSeq 2000,Brown Genomics Core,Trizol | Illumina TruSeq RNA Sample Prep Kit RNA Purification Beads ; 2 rounds | Illumina TruSeq RNA Sample Prep Kit,Dunn lab,,,,,,,,,
N,Abylopsis tetragona,HWI-ST625-54-C026EACXX-6-ATCACG,SRX288276,FEG339,transcriptome,,Illumina HiSeq 2000,Brown Genomics Core,Invitrogen Dynabeads mRNA DIRECT kit ; 1 round | Illumina TruSeq RNA Sample Prep Kit,,,,,,,,,,
N,Aegina citrea,HWI-ST625-54-C026EACXX-3-TATC,SRS893439,Acit,transcriptome,whole animal,Illumina HiSeq 2000,Brown Genomics Core, NuGEN Encore,Steven H.D Haddock,,,,,,,,,
N,Aiptasia pallida,SRX231866,SRX231866,,transcriptome,,,, , ,,,,,,,,,
N,Alatina alata,HISEQ-168-C3DEYACXX-8-ALATINA,SRS893440,,transcriptome,,Illumina HiSeq,,"Trizol | Phase Lock Protocol for the flash frozen samples (R1, R2, R3, R4) and Qiagen RNeasy Kit for those frozen in RNAlater (R54, R56, R59)","Cheryl Lewis Ames, Arjen van Dorsten, Johan van Blerk",,,,,,,,,
Y,Apolemia rubriversa,HWI-ST625-54-C026EACXX-6-TTAGGC,,FEG355,transcriptome,,Illumina HiSeq 2000,Brown Genomics Core,Invitrogen Dynabeads mRNA DIRECT kit ; 1 round & Trizol | Invitrogen Dynabeads mRNA Purification Kit ; 2 rounds | Illumina TruSeq RNA Sample Prep Kit,Stefan Siebert,11-Dec-09,D102-D6,767m,"Pacific Ocean, Monterey Bay, CA, USA",36.70 N 122.05 W,physical voucher,MCZ IZ (Harvard),69756,"ROV Doc Ricketts, off R/V Wester Flyer"
N,Atolla vanhoeffeni,HWI-ST625-61-C02G3ACxx-6-GGCTAC,SRS893451,Atolla,transcriptome,,Illumina HiSeq 2000,Brown Genomics Core, NEB Fragmentase| Illumina TruSeq RNA Sample Prep Kit (from end repair on),Nathan Shaner ,,,,,,,,,
Y,Chelophyes appendiculata,HWI-ST625-54-C026EACXX-6-ACAGTG,,FEG351,transcriptome,,Illumina HiSeq 2000,Brown Genomics Core,Trizol |  Invitrogen Dynabeads mRNA Purification Kit ; 1 rounds | Illumina TruSeq RNA Sample Prep Kit,Stefan Siebert,14-Apr-11,VF#11,0-30m,"Mediterranean, Bay of Villefranche-sur-Mer, France",,physical voucher,MCZ IZ (Harvard),69764,"Plankton trawl, mesh size 780microns"
