Species	Median	Mean	StdDev	Count	Max	Min
Agalma	171.89	171.89	22.80	2	194.69	149.09
Apolemia	572.15	720.28	551.04	3864	3818.81	30.80
Apolemia lanosa	1224.90	1248.35	333.44	64	2280.30	379.75
Bargmannia amoena	1333.79	1454.41	594.29	41	3478.40	399.73
Bargmannia elongata	543.89	582.58	230.41	633	2504.15	69.61
Bargmannia lata	1274.93	1584.83	750.89	232	3562.90	420.79
Chuniphyes multidentata	513.38	569.59	288.37	3023	3546.10	44.60
Cordagalma	358.19	532.72	604.19	501	3613.88	33.63
Craseoa lathetica	463.93	708.08	566.25	98	2528.81	45.70
Desmophyes annectens	231.02	225.40	62.84	32	343.32	29.11
Desmophyes haematogaster	1013.19	1077.20	616.35	259	3425.06	187.60
Erenna richardi	1119.67	1150.37	168.41	5	1389.49	908.36
Forskalia	182.33	229.80	198.40	215	1573.56	2.74
Frillagalma vityazi	432.77	495.61	251.07	153	1995.30	198.60
Halistemma rubrum	170.04	161.22	90.33	138	309.08	2.72
Kephyes ovata	797.46	1226.93	805.01	104	3661.70	443.08
Lilyopsis fluoracantha	271.18	262.58	111.70	74	454.21	82.77
Lychnagalma utricularia	473.71	490.96	163.94	133	1995.30	109.27
Marrus claudanielis	1196.55	1317.02	554.24	20	3091.39	688.41
Nanomia bijuga	286.00	305.35	236.59	27868	3538.60	0.87
Physophora gilmeri	217.74	217.74	23.76	2	241.49	193.98
Praya dubia	90.85	148.68	195.78	295	1995.30	2.06
Prayidae	428.71	589.03	595.65	1584	3508.33	2.78
Prayinae	407.73	486.72	361.75	501	2564.27	15.78
Resomia ornicephala	203.18	208.61	88.77	214	950.89	23.43
Rhizophysa	997.47	997.39	0.20	7	997.57	996.93
Rudjakovia plicata	415.62	397.18	97.84	15	590.00	239.82
Stephalia dilata	3158.41	3259.30	227.92	6	3768.92	3155.09
Thermopalia taraxaca	2937.54	2986.86	232.45	5	3279.12	2740.75
