time(s)	sample_size	low_conf_int	p_value	high_conf_int
106	11	0	<0.090909	0.2849142
108	12	0	<0.083333	0.2646485
110	13	0	<0.076923	0.2470526
112	14	0	<0.071429	0.2316358
114	15	0	<0.066667	0.2180194
116	16	0	<0.0625	0.2059072
118	17	0	<0.058824	0.1950643
120	18	0	<0.055556	0.185302
122	19	0	<0.052632	0.1764669
124	20	0	<0.05	0.1684335
126	21	0	<0.047619	0.1610976
128	22	0	<0.045455	0.1543725
130	23	0	<0.043478	0.1481851
132	24	0	<0.041667	0.1424736
134	25	0	<0.04	0.1371852
136	26	0	<0.038462	0.1322746
138	27	0	<0.037037	0.1277029
140	28	0	<0.035714	0.1234361
143	29	0	<0.034483	0.1194449
145	30	0	<0.033333	0.1157033
147	31	0	<0.032258	0.1121887
149	32	0	<0.03125	0.1088812
151	33	0	<0.030303	0.1057628
153	34	0	<0.029412	0.1028179
156	35	0	<0.028571	0.1000324
158	36	0	<0.027778	0.09739376
160	37	0	<0.027027	0.09489059
162	38	0	<0.026316	0.09251276
164	39	0	<0.025641	0.0902511
166	40	0	<0.025	0.0880973
168	41	0	<0.02439	0.08604384
170	42	0	<0.02381	0.08408385
172	43	0	<0.023256	0.08221112
174	44	0	<0.022727	0.08041994
176	45	0	<0.022222	0.0787051
178	46	0	<0.021739	0.07706183
180	47	0	<0.021277	0.07548573
183	48	0	<0.020833	0.07397279
184	49	0	<0.020408	0.07251926
186	50	0	<0.02	0.07112174
189	51	0	<0.019608	0.06977703
191	52	0	<0.019231	0.06848221
193	53	0	<0.018868	0.06723455
195	54	0	<0.018519	0.06603151
197	55	0	<0.018182	0.06487076
199	56	0	<0.017857	0.0637501
201	57	0	<0.017544	0.06266748
203	58	0	<0.017241	0.06162101
205	59	0	<0.016949	0.0606089
207	60	0	<0.016667	0.05962949
209	61	0	<0.016393	0.05868122
211	62	0	<0.016129	0.05776263
213	63	0	<0.015873	0.05687235
215	64	0	<0.015625	0.05600909
217	65	0	<0.015385	0.05517163
219	66	0	<0.015152	0.05435885
221	67	0	<0.014925	0.05356965
223	68	0	<0.014706	0.05280304
225	69	0	<0.014493	0.05205806
227	70	0	<0.014286	0.0513338
229	71	0	<0.014085	0.05062941
231	72	0	<0.013889	0.04994408
233	73	0	<0.013699	0.04927706
235	74	0	<0.013514	0.04862762
237	75	0	<0.013333	0.04799506
239	76	0	<0.013158	0.04737875
241	77	0	<0.012987	0.04677807
243	78	0	<0.012821	0.04619242
245	79	0	<0.012658	0.04562125
247	80	0	<0.0125	0.04506404
249	81	0	<0.012346	0.04452026
252	82	0	<0.012195	0.04398945
255	83	0	<0.012048	0.04347115
256	84	0	<0.011905	0.04296492
258	85	0	<0.011765	0.04247034
260	86	0	<0.011628	0.04198702
263	87	0	<0.011494	0.04151457
265	88	0	<0.011364	0.04105263
267	89	0	<0.011236	0.04060086
269	90	0	<0.011111	0.04015892
271	91	0	<0.010989	0.0397265
273	92	0	<0.01087	0.03930329
275	93	0	<0.010753	0.038889
277	94	0	<0.010638	0.03848335
279	95	0	<0.010526	0.03808608
281	96	0	<0.010417	0.03769692
283	97	0	<0.010309	0.03731564
285	98	0	<0.010204	0.03694199
287	99	0	<0.010101	0.03657574
289	100	0	<0.01	0.03621669
