Species,Insert Size,Insert size sd,Read pairs,Percent kept after rRNA removal,Percent kept after assembly,Adapter fails,Quality fails,Base Composition fails,Total assembled transcripts,Coding transcripts
Marrus claudanielis,253.03,53.3,35866092,96.8,62.1,113298,15594637,4981676,105439,22511
Apolemia rubriversa,290.81,80.64,19228660,91.7,77.8,40594,5179800,516100,87701,17540
Chuniphyes multidentata,284.46,35.74,17999147,77,74.3,24263,4941872,335297,84341,22084
Apolemia sp,167.41,53.46,16761717,81.3,79.4,1332063,3062035,41943,51470,14752
Apolemia lanosa,167.74,55.3,18444476,96.4,80.9,923922,3882968,439569,70184,15579
Bargmannia elongata,271.43,40.17,40008913,79.8,78.5,342825,8084832,2017709,152019,23661
Diphyes dispar,223.14,58.73,80000000,78.7,63.4,14412120,21322624,690159,210406,50868
Aiptasia pallida,183.18,53.88,74558341,98.4,79.3,210730,23826421,307520,83950,33523
Stephalia dilata,267.82,43.33,30953585,98,63.9,86068,15731787,1435119,107925,23984
Physalia physalis,233.1,54.37,36481773,96.6,88.5,18553,5491979,259497,74994,23705
Bargmannia amoena,161.57,53.77,20195498,84.6,80.1,1049110,3996085,274520,66726,17975
Frillagalma vityazi,283.11,44.91,79902051,54,70.4,668400,13591301,5558767,181508,29293
Alatina alata,173.96,60.33,96259870,52.1,77.9,1236251,15771112,468662,166584,28743
Clytia hemisphaerica,NA,NA,NA,NA,NA,NA,NA,NA,11476,6642
Ectopleura larynx,229.05,37.75,109024653,95.9,74.6,432309,40629127,897590,84034,28015
Athorybia rosacea,221.16,93.65,28696930,99.9,86.9,691916,4026467,633700,100839,24543
Forskalia asymmetrica,259.42,35.04,25275184,58.9,65.1,41922,7463840,841930,82483,18419
Prayidae D27D2,267.32,45.59,38233199,85.2,66.4,59773,15338562,1878732,144909,28065
Lilyopsis fluoracantha,259.39,39.08,51855968,76.5,65.3,72416,19809124,1388875,114662,29854
Hydractinia symbiolongicarpus,175.22,57.84,60462724,49.8,85.2,162430,6678373,124392,71450,24639
Rhizophysa filiformis,269.74,46.52,26937827,92.5,65.3,66010,13238701,361376,110109,24833
Agalma elegans,238.94,57.54,40007833,99.6,86,31957,7177806,748977,122053,26601
Chelophyes appendiculata,275.93,39.43,21103284,89,74.2,63548,6777022,344708,110612,32309
Prayidae D27SS7,303.39,50.83,25233164,66.7,65.6,39061,8616289,347189,94917,24211
Rudjakovia sp,213.88,89.71,20582477,99.1,79.7,489520,3936086,1546686,91695,24184
Abylopsis tetragona,292.16,38.32,21575176,73.3,73.8,38764,5759144,370604,102946,25268
Nematostella vectensis,NA,NA,NA,NA,NA,NA,NA,NA,26511,18080
Hippopodius hippopus,266.99,45.11,35638254,84.5,66.3,56152,15490291,535026,137341,35031
Physophora gilmeri,214.97,93.78,19847377,99.3,81.3,936617,3464079,1007839,52639,17381
Bargmannia lata,166.71,62.8,16984483,98.7,71.1,3118496,4227140,868584,59051,16451
Nanomia bijuga,296.69,44.2,39983229,85.7,75.5,155093,10854240,795226,165792,28927
Erenna richardi,291.53,36.76,29776547,64.2,66.6,39775,8958200,1245523,89423,18236
Physonect sp ,261.09,35.96,38243543,24.3,66.7,12494,4517982,274838,57746,12596
Thermopalia sp,201.29,84.79,19074319,99.7,85.4,736393,2809499,531359,50572,16913
Cordagalma sp,289.42,37.89,20416265,62.4,77.3,22069,3875945,387383,88468,22604
Lychnagalma utricularia,266.38,50.25,35833131,63.9,65.7,60019,11691276,714049,95708,21057
Kephyes ovata,243.52,61.49,42044676,99.2,85.4,12567,7982239,496206,146394,31286
Hydra magnipapillata,NA,NA,NA,NA,NA,NA,NA,NA,17741,12581
Resomia ornicephala,258.55,36.28,42998185,68.5,65.1,47093,14776612,1429610,103682,22777
Halistemma rubrum,224.84,100.91,26331113,97.9,85.1,439185,4294857,714798,87526,25351
Podocoryna carnea,173.51,52.58,46216536,72.8,74.1,121866,13195545,142954,109584,45849
