New data,Species,ID,SRA Number,Library ID, Library type,Tissue,Sequencer,Sequencing center,Sample prep,Collected by,Collection date,Specimen id,Depth (m),Geo loc name,Lat Lon,Voucher Type,Voucher location,Voucher Cat No.,Collection mode,Treatment prior to tissue sampling,MgCl relaxation
N,Agalma elegans,HWI-ST625-73-C0JUVACXX-7-AGALMA2,,FEG0371; FEG0372,transcriptome,NGZ and SGZ,Illumina HiSeq 2000,Brown Genomics Core,Trizol | Illumina TruSeq RNA Sample Prep Kit RNA Purification Beads ; 2 rounds | Illumina TruSeq RNA Sample Prep Kit,Stefan Siebert,04-Dec-11,BW-2 agalma 1,3--20,"Pacific Ocean, Monterey Bay, CA, USA",35.56 N 122.55 W,physical voucher,MCZ IZ (Harvard),69751,"Blue water SCUBA diving, off R/V Wester Flyer","4h, dark, 4C",Y
Y,Bargmannia elongata,HWI-ST625-51-C02UNACXX-8-BARGMANNIA,SRR1548343;SRR1548344;SRR1548345;SRR1548346;SRR1548347,FEG311;FEG312;FEG292;FEG295;FEG296,transcriptome,mix of  NGZ SGZ and siphosome ,Illumina HiSeq 2000,Brown Genomics Core,Trizol | Illumina TruSeq RNA Sample Prep Kit RNA Purification Beads ; 2 rounds | Illumina TruSeq RNA Sample Prep Kit,Stefan Siebert,08/10/2010 / 7-Oct-2010 / 11-Oct-2010,D196-D8/ D195-D4 /D195-D6 /D198-SS10,412/805/636/818,"Pacific Ocean, Monterey Bay, CA, USA",36.12 N 122.67 W,physical voucher,MCZ IZ (Harvard),69761," ROV Doc Ricketts, off R/V Wester Flyer","Over night, FSW, dark, 4C",Y
Y,Frillagalma vityazi,HWI-ST625-51-C02UNACXX-6-FRILLAGALMA,SRR1548362;SRR1548363;SRR1548364,FEG291;FEG286;FEG309,transcriptome,mix of  NGZ SGZ and siphosome ,Illumina HiSeq 2000,Brown Genomics Core,Trizol | Illumina TruSeq RNA Sample Prep Kit RNA Purification Beads ; 2 rounds | Illumina TruSeq RNA Sample Prep Kit,Steven H.D Haddock,31-Jan-11,V3602-D5,407,"Pacific Ocean, Monterey Bay, CA, USA",36.69 N 122.05 W,,,,,"day cruise, not sure if processed same day",?
Y&N,Nanomia bijuga,HWI-ST625-51-C02UNACXX-7-NANOMIA,SRR1548376;SRR1548377;SRR871527,FEG298;FEG284;FEG283,transcriptome,mix of  NGZ SGZ and siphosome ,Illumina HiSeq 2000,Brown Genomics Core,Trizol | Illumina TruSeq RNA Sample Prep Kit RNA Purification Beads ; 2 rounds | Illumina TruSeq RNA Sample Prep Kit,Stefan Siebert,07/10/2010 /12-Oct-2010,D195-SS4 / D199-SS12C,414/387,"Pacific Ocean, Monterey Bay, CA, USA",36.60 N 122.15 W,physical voucher,MCZ IZ (Harvard),69778,"ROV Doc Ricketts, off R/V Wester Flyer","sampled on collection day, dark, 4C",Y
N,Physalia physalis,HWI-ST625-73-C0JUVACXX-7-TTAGGC,SRR871528,FEG0369,transcriptome,whole animal without most of float,Illumina HiSeq 2000,Brown Genomics Core,Trizol | Illumina TruSeq RNA Sample Prep Kit RNA Purification Beads ; 2 rounds | Illumina TruSeq RNA Sample Prep Kit,Dunn lab,,,,,,,,,,,
N,Abylopsis tetragona,HWI-ST625-54-C026EACXX-6-ATCACG,SRR871525,FEG339,transcriptome,,Illumina HiSeq 2000,Brown Genomics Core,Invitrogen Dynabeads mRNA DIRECT kit ; 1 round | Illumina TruSeq RNA Sample Prep Kit,,,,,,,,,,,,
N,Aegina citrea,HWI-ST625-54-C026EACXX-3-TATC,SRS893439,Acit,transcriptome,whole animal,Illumina HiSeq 2000,Brown Genomics Core, NuGEN Encore,Steven H.D Haddock,,,,,,,,,,,
N,Aiptasia pallida,SRX231866,SRR6967; SRR6967; SRR6967,,transcriptome,,,, , ,,,,,,,,,,,
N,Alatina alata,HISEQ-168-C3DEYACXX-8-ALATINA,SRR1952741,,transcriptome,,Illumina HiSeq,,"Trizol | Phase Lock Protocol for the flash frozen samples (R1, R2, R3, R4) and Qiagen RNeasy Kit for those frozen in RNAlater (R54, R56, R59)","Cheryl Lewis Ames, Arjen van Dorsten, Johan van Blerk",,,,,,,,,,,
Y,Apolemia rubriversa,HWI-ST625-54-C026EACXX-6-TTAGGC,SRR1548342,FEG347|FEG352|FEG353,transcriptome,"siphosomal growth zone, youngest nectophores (5x) from the nectosomal growth zone, youngest gastrozooids (6x) from the siphosomal growth zone",Illumina HiSeq 2000,Brown Genomics Core,Invitrogen Dynabeads mRNA DIRECT kit ; 1 round & Trizol | Invitrogen Dynabeads mRNA Purification Kit ; 2 rounds | Illumina TruSeq RNA Sample Prep Kit,Stefan Siebert,11-Dec-09,D102-D6,767,"Pacific Ocean, Monterey Bay, CA, USA",36.70 N 122.05 W,physical voucher,MCZ IZ (Harvard),69756,"ROV Doc Ricketts, off R/V Wester Flyer","4h, dark, 4C",Y
N,Atolla vanhoeffeni,HWI-ST625-61-C02G3ACxx-6-GGCTAC,SRR1952729,Atolla,transcriptome,,Illumina HiSeq 2000,Brown Genomics Core, NEB Fragmentase| Illumina TruSeq RNA Sample Prep Kit (from end repair on),Nathan Shaner ,,,,,,,,,,,
Y,Chelophyes appendiculata,HWI-ST625-54-C026EACXX-6-ACAGTG,SRR1548354,FEG351,transcriptome,complete specimen,Illumina HiSeq 2000,Brown Genomics Core,Trizol |  Invitrogen Dynabeads mRNA Purification Kit ; 1 rounds | Illumina TruSeq RNA Sample Prep Kit,Stefan Siebert,14-Apr-11,VF#11,3--20,"Mediterranean, Bay of Villefranche-sur-Mer, France",,physical voucher,MCZ IZ (Harvard),69764,"Plankton trawl, mesh size 780microns","24h in FSW, room temperature",N
Y,Chuniphyes multidentata,HWI-ST625-54-C026EACXX-6-GCCAAT,SRR1548355,FEG325,transcriptome,anterior part of siphosome including growthzone,Illumina HiSeq 2000,Brown Genomics Core,Trizol |  Invitrogen Dynabeads mRNA Purification Kit ; 1 rounds | Illumina TruSeq RNA Sample Prep Kit,Stefan Siebert,12-Dec-09,D103-SS4,327,"Pacific Ocean, Monterey Bay, CA, USA",36.79 N 122.00 W,physical voucher,MCZ IZ (Harvard),69765,"ROV Doc Ricketts, off R/V Wester Flyer","4h, dark, 4C",Y
N,Clytia hemisphaerica,dbEST_CLYHEM,,,transcriptome,,,, , ,,,,,,,,,,,
Y,Cordagalma sp,HWI-ST625-54-C026EACXX-6-CAGATC,SRR1548356,FEG328,transcriptome,siphosomal stem fragment,Illumina HiSeq 2000,Brown Genomics Core,Trizol |  Invitrogen Dynabeads mRNA Purification Kit ; 1 rounds | Illumina TruSeq RNA Sample Prep Kit,Steven H.D Haddock,15-Jan-08,V3155-D8 1/2,252,"Pacific Ocean, Monterey Bay, CA, USA",36.70 N 122.06 W,photographic voucher - supplementary file,,,"ROV Ventana, off R/V Point Lobos",?,?
N,Ectopleura larynx,HWI-ST420-69-D0F2NACXX-3-ECTOPLEURA,SRR923510,,transcriptome,,Illumina HiSeq,, , ,,,,,,,,,,,
Y,Erenna richardi,HWI-ST625-54-C026EACXX-7-TAGCTT,SRR1548360,FEG330|FEG331|FEG332|FEG333,transcriptome,nectosomal growth zone with youngest 15 nectophores,Illumina HiSeq 2000,Brown Genomics Core,Trizol |  Invitrogen Dynabeads mRNA Purification Kit ; 1 rounds | Illumina TruSeq RNA Sample Prep Kit,Stefan Siebert,09-Dec-09,D100-D1,1044,"Pacific Ocean, Monterey Bay, CA, USA",36.61 N 122.38 W,physical voucher,MCZ IZ (Harvard),69768,"ROV Doc Ricketts, off R/V Wester Flyer","~2h, dark, 4C",Y
Y,Forskalia asymmetrica,HWI-ST625-54-C026EACXX-7-GGCTAC,SRR1548361,FEG334|FEG335|FEG336,transcriptome,siphosomal growth zone and 14 youngest nectophores,Illumina HiSeq 2000,Brown Genomics Core,Trizol |  Invitrogen Dynabeads mRNA Purification Kit ; 1 rounds | Illumina TruSeq RNA Sample Prep Kit,Stefan Siebert,11-Dec-09,D103-SS7,253,"Pacific Ocean, Monterey Bay, CA, USA",36.80 N 122.00 W,physical voucher,MCZ IZ (Harvard),69769,"ROV Doc Ricketts, off R/V Wester Flyer","~2h, dark, 4C",Y
Y,Hippopodius hippopus,HWI-ST625-54-C026EACXX-8-ATCACG,SRR1548371,FEG337,transcriptome,"stem including growth zones, mature nectophores removed",Illumina HiSeq 2000,Brown Genomics Core,,Stefan Siebert,13-Apr-11,VF#6,3--20,"Mediterranean, Bay of Villefranche-sur-Mer, France",43.69 N 7.315 E,physical voucher,MCZ IZ (Harvard),69774,"Plankton trawl, mesh size 780microns","24h in FSW, room temperature",N
N,Hydra magnipapillata,NCBI_HYDMAG,,,genome,,,, , ,,,,,,,,,,,
N,Hydractinia symbiolongicarpus,HISEQ-129-C25BFACXX-8-HYDRACTINIA,SRX474878,,transcriptome,,Illumina HiSeq,, , ,,,,,,,,,,,
Y,Kephyes ovata,HWI-ST625-73-C0JUVACXX-7-ATCACG,SRR1548372,FEG0367,transcriptome,siphosome,Illumina HiSeq 2000,Brown Genomics Core,Trizol | Illumina TruSeq RNA Sample Prep Kit RNA Purification Beads ; 2 rounds | Illumina TruSeq RNA Sample Prep Kit,Stefan Siebert,06-Dec-11,D330-SS8,452,"Pacific Ocean, Monterey Bay, CA, USA",36.36 N 122.81 W,physical voucher,MCZ IZ (Harvard),69775,"ROV Doc Ricketts, off R/V Wester Flyer","dark, 4C, sampled on collection day",?
Y,Lilyopsis fluoracantha,HWI-ST625-54-C026EACXX-7-CGATGT,SRR1548373,FEG344,transcriptome,"siphosomal growth zone, stem",Illumina HiSeq 2000,Brown Genomics Core,Trizol |  Invitrogen Dynabeads mRNA Purification Kit ; 1 rounds | Illumina TruSeq RNA Sample Prep Kit,Steven H.D Haddock,26-Apr-07,V2992-D8,320,"Pacific Ocean, Monterey Bay, CA, USA",36.69 N 122.04 W,photographic voucher - supplementary file,,,"ROV Ventana, off R/V Point Lobos",?,?
